Order ID,Customer ID,Customer_Age,City,Restaurant_Category,Order_Value,Delivery_Time,Payment_Method,Order_Date,Customer_Rating
ORD001,1001,24,Kochi,Fast Food,850,32,UPI,1/3/2026,4.5
ORD002,1002,31,Calicut,Indian,1250,41,Cash,1/4/2026,4
ORD003,1003,28,Kannur,Chinese,980,29,Card,1/5/2026,4.5
ORD004,1004,35,Thrissur,Biryani,1450,52,UPI,1/7/2026,3.5
ORD005,1005,22,Kochi,Cafe,620,25,COD,1/8/2026,5
ORD006,1006,41,Kollam,Desserts,540,38,Card,1/9/2026,4
ORD007,1007,29,Trivandrum,Fast Food,1100,34,UPI,1/10/2026,4.5
ORD008,1008,33,Kochi,Indian,1750,45,Cash,1/11/2026,
ORD009,1009,26,Calicut,Chinese,920,27,Card,1/12/2026,4
ORD010,1010,38,Kannur,Biryani,2100,55,UPI,1/14/2026,3
ORD011,1011,21, Kochi ,Cafe,480,22,COD,1/15/2026,5
ORD012,1012,45,Kollam,Indian,1320,47,Card,1/16/2026,4
ORD013,1013,27,Trivandrum,Fast Food,760,31,UPI,1/18/2026,4.5
ORD014,1014,36,Calicut,Desserts,690,36,Cash,1/19/2026,3.5
ORD015,1015,30,Kochi,Biryani,1850,49,UPI,1/20/2026,4
ORD016,1016,23,Kannur,Chinese,870,28,Card,1/21/2026,4.5
ORD017,1017,39,Thrissur,Indian,1540,43,Cash,1/23/2026,3.5
ORD018,1018,25,Kollam,Cafe,550,24,UPI,1/24/2026,5
ORD019,1019,32,Trivandrum,Fast Food,990,35,Card,1/25/2026,4
ORD020,1020,47,Calicut,Biryani,2350,58,COD,1/27/2026,3
ORD021,1021,20,Kochi,Chinese,780,26,UPI,1/28/2026,4.5
ORD022,1022,34,Kannur,Indian,1180,39,Cash,1/29/2026,4
ORD023,1023,29,Thrissur,Desserts,610,33,Card,1/30/2026,4.5
ORD024,1024,42,Kollam,Fast Food,1020,,UPI,2/1/2026,4
ORD025,1025,37,Trivandrum,Indian,1680,46,Cash,2/2/2026,3.5
ORD026,1026,24,Kochi,Biryani,1950,51,UPI,2/3/2026,4
ORD027,1027,31,Calicut,Cafe,730,29,Card,2/5/2026,4.5
ORD028,1028,28,Kannur,Fast Food,880,37,COD,2/6/2026,4
ORD029,1029,40,Thrissur,Chinese,1120,44,UPI,2/7/2026,3.5
ORD030,1030,26,Kollam,Desserts,590,30,Cash,2/8/2026,4.5
ORD031,1031,33,Trivandrum,Biryani,2200,56,Card,2/10/2026,3
ORD032,1032,22,Kochi,Indian,1280,40,UPI,2/11/2026,4
ORD033,1033,46,Calicut,Fast Food,940,35,Cash,2/12/2026,4
ORD034,1034,27,Kannur,Cafe,510,23,Card,2/13/2026,5
ORD035,1035,35,Thrissur,Indian,1420,42,UPI,2/15/2026,4
ORD036,1036,30,Kollam,Biryani,2050,54,COD,2/16/2026,3.5
ORD037,1037,41,Trivandrum,Chinese,990,31,UPI,2/17/2026,4.5
ORD038,1038,25,Kochi,Desserts,680,28,Cash,2/18/2026,5
ORD039,1039,38,Calicut,Fast Food,870,36,Card,2/20/2026,4
ORD040,1040,29,Kannur,Indian,1190,41,UPI,2/21/2026,4
ORD041,1001,24,Kochi,Biryani,1600,48,Cash,2/22/2026,3.5
ORD042,1002,31,Calicut,Cafe,640,27,UPI,2/23/2026,4.5
ORD043,1003,28,Kannur,Fast Food,910,34,Card,2/24/2026,4
ORD044,1004,35,Thrissur,Chinese,1050,39,COD,2/26/2026,4
ORD045,1005,22,Kochi,Indian,1380,43,UPI,2/27/2026,3.5
ORD046,1006,41,Kollam,Biryani,2250,57,Cash,2/28/2026,3
ORD047,1007,29,Trivandrum,Desserts,720,32,Card,3/1/2026,4.5
ORD048,1008,33,Kochi,Fast Food,1010,36,UPI,3/2/2026,4
ORD049,1009,26,Calicut,Indian,1550,44,Cash,3/3/2026,3.5
ORD050,1010,38,Kannur,Cafe,580,26,Card,3/5/2026,5
ORD051,1011,21,Thrissur,Biryani,1800,50,UPI,3/6/2026,4
ORD052,1012,45,Kollam,Chinese,970,33,COD,3/7/2026,4
ORD053,1013,27,Trivandrum,Indian,1290,42,UPI,3/8/2026,3.5
ORD054,1014,36,Kochi,Desserts,630,29,Cash,3/10/2026,4.5
ORD055,1015,30,Calicut,Fast Food,860,35,Card,3/11/2026,4
ORD056,1016,23,Kannur,Biryani,1980,53,UPI,3/12/2026,3
ORD057,1017,39,Thrissur,Indian,1480,45,Cash,3/13/2026,4
ORD058,1018,25,Kollam,Cafe,520,24,Card,3/15/2026,5
ORD059,1019,32,Trivandrum,Fast Food,930,38,UPI,3/16/2026,4.5
ORD060,1020,47,Calicut,Biryani,2400,60,COD,3/17/2026,3
ORD061,1021,20,Kochi,Chinese,810,30,UPI,3/18/2026,4
ORD062,1022,34,Kannur,Indian,1210,40,Cash,3/20/2026,4
ORD063,1023,29,Thrissur,Desserts,600,34,Card,3/21/2026,4.5
ORD064,1024,42,Kollam,Fast Food,1080,37,UPI,3/22/2026,4
ORD065,1025,37,Trivandrum,Indian,1720,48,Cash,3/23/2026,3.5
ORD066,1026,24,Kochi,Biryani,1890,52,UPI,3/25/2026,4
ORD067,1027,31,Calicut,Cafe,750,28,Card,3/26/2026,4.5
ORD068,1028,28,Kannur,Fast Food,890,36,COD,3/27/2026,4
ORD069,1029,40,Thrissur,Chinese,1150,43,UPI,3/28/2026,3.5
ORD070,1030,26,Kollam,Desserts,570,31,Cash,3/29/2026,4.5
ORD071,1031,33,Trivandrum,Biryani,2150,55,upi,3/30/2026,3
ORD072,1032,22,Kochi,Indian,1270,41,UPI,4/1/2026,4
ORD073,1033,46,Calicut,Fast Food,950,34,Cash,4/2/2026,4
ORD074,1034,27,Kannur,Cafe,500,22,Card,4/3/2026,5
ORD075,1035,35,Thrissur,Indian,1400,44,UPI,4/4/2026,4
ORD076,1036,30,Kollam,Biryani,2020,53,COD,4/5/2026,3.5
ORD077,1037,41,Trivandrum,Chinese,1000,32,UPI,4/7/2026,4.5
ORD078,1038,25,Kochi,Desserts,670,27,Cash,4/8/2026,5
ORD079,1039,38,Calicut,Fast Food,880,36,Card,4/9/2026,4
ORD080,1040,29,Kannur,Indian,1160,40,UPI,4/10/2026,4
ORD081,1001,24,Kochi,Biryani,1650,49,Cash,4/11/2026,3.5
ORD082,1002,31,Calicut,Cafe,650,26,UPI,4/12/2026,4.5
ORD083,1003,28,Kannur,Fast Food,900,33,Card,4/14/2026,4
ORD084,1004,35,Thrissur,Chinese,"?1,050",39,COD,4/15/2026,4
ORD085,1005,22,Kochi,Indian,1360,42,UPI,4/16/2026,3.5
ORD086,1006,41,Kollam,Biryani,2300,56,Cash,4/17/2026,3
ORD087,1007,29,Trivandrum,Desserts,710,31,Card,4/18/2026,4.5
ORD088,1008,33,Kochi,Fast Food,1000,35,UPI,4/19/2026,4
ORD089,1009,26,Calicut,Indian,1520,43,Cash,4/20/2026,3.5
ORD090,1010,38,Kannur,Cafe,560,25,Card,4/21/2026,5
ORD091,1011,21,Thrissur,Biryani,1820,-5,UPI,4/22/2026,4
ORD092,1012,45,Kollam,Chinese,960,32,COD,4/23/2026,4
ORD093,1013,27,Trivandrum,Indian,1310,41,UPI,4/24/2026,3.5
ORD094,1014,36,Kochi,Desserts,620,28,Cash,4/25/2026,4.5
ORD095,1015,30,Calicut,Fast Food,840,34,Card,4/26/2026,4
ORD096,1016,23,Kannur,Biryani,2010,52,UPI,4/27/2026,3
ORD097,1017,39,Thrissur,Indian,1460,44,Cash,4/28/2026,4
ORD098,1018,25,Kollam,Cafe,530,23,Card,4/29/2026,5
ORD012,1012,45,Kollam,Indian,1320,47,Card,1/16/2026,4
ORD041,1001,24,Kochi,Biryani,1600,48,Cash,2/22/2026,3.5
ORD075,1035,35,Thrissur,Indian,1400,44,UPI,4/4/2026,4
ORD099,1019,32,Trivandrum,Fast Food,940,37,UPI,4/30/2026,4.5
ORD100,1020,47,Calicut,Biryani,2380,59,COD,5/1/2026,3
