Order ID,Customer ID,Customer_Age,City,Restaurant_Category,Order_Value,Delivery_Time,Payment_Method,Order_Date,Customer_Rating
ORD001,1001,24,Kochi,Fast Food,850.0,32.0,UPI,2026-01-03,4.5
ORD002,1002,31,Calicut,Indian,1250.0,41.0,CASH,2026-01-04,4.0
ORD003,1003,28,Kannur,Chinese,980.0,29.0,CARD,2026-01-05,4.5
ORD004,1004,35,Thrissur,Biryani,1450.0,52.0,UPI,2026-01-07,3.5
ORD005,1005,22,Kochi,Cafe,620.0,25.0,COD,2026-01-08,5.0
ORD006,1006,41,Kollam,Desserts,540.0,38.0,CARD,2026-01-09,4.0
ORD007,1007,29,Trivandrum,Fast Food,1100.0,34.0,UPI,2026-01-10,4.5
ORD008,1008,33,Kochi,Indian,1750.0,45.0,CASH,2026-01-11,
ORD009,1009,26,Calicut,Chinese,920.0,27.0,CARD,2026-01-12,4.0
ORD010,1010,38,Kannur,Biryani,2100.0,55.0,UPI,2026-01-14,3.0
ORD011,1011,21,Kochi,Cafe,480.0,22.0,COD,2026-01-15,5.0
ORD012,1012,45,Kollam,Indian,1320.0,47.0,CARD,2026-01-16,4.0
ORD013,1013,27,Trivandrum,Fast Food,760.0,31.0,UPI,2026-01-18,4.5
ORD014,1014,36,Calicut,Desserts,690.0,36.0,CASH,2026-01-19,3.5
ORD015,1015,30,Kochi,Biryani,1850.0,49.0,UPI,2026-01-20,4.0
ORD016,1016,23,Kannur,Chinese,870.0,28.0,CARD,2026-01-21,4.5
ORD017,1017,39,Thrissur,Indian,1540.0,43.0,CASH,2026-01-23,3.5
ORD018,1018,25,Kollam,Cafe,550.0,24.0,UPI,2026-01-24,5.0
ORD019,1019,32,Trivandrum,Fast Food,990.0,35.0,CARD,2026-01-25,4.0
ORD020,1020,47,Calicut,Biryani,2350.0,58.0,COD,2026-01-27,3.0
ORD021,1021,20,Kochi,Chinese,780.0,26.0,UPI,2026-01-28,4.5
ORD022,1022,34,Kannur,Indian,1180.0,39.0,CASH,2026-01-29,4.0
ORD023,1023,29,Thrissur,Desserts,610.0,33.0,CARD,2026-01-30,4.5
ORD024,1024,42,Kollam,Fast Food,1020.0,37.0,UPI,2026-02-01,4.0
ORD025,1025,37,Trivandrum,Indian,1680.0,46.0,CASH,2026-02-02,3.5
ORD026,1026,24,Kochi,Biryani,1950.0,51.0,UPI,2026-02-03,4.0
ORD027,1027,31,Calicut,Cafe,730.0,29.0,CARD,2026-02-05,4.5
ORD028,1028,28,Kannur,Fast Food,880.0,37.0,COD,2026-02-06,4.0
ORD029,1029,40,Thrissur,Chinese,1120.0,44.0,UPI,2026-02-07,3.5
ORD030,1030,26,Kollam,Desserts,590.0,30.0,CASH,2026-02-08,4.5
ORD031,1031,33,Trivandrum,Biryani,2200.0,56.0,CARD,2026-02-10,3.0
ORD032,1032,22,Kochi,Indian,1280.0,40.0,UPI,2026-02-11,4.0
ORD033,1033,46,Calicut,Fast Food,940.0,35.0,CASH,2026-02-12,4.0
ORD034,1034,27,Kannur,Cafe,510.0,23.0,CARD,2026-02-13,5.0
ORD035,1035,35,Thrissur,Indian,1420.0,42.0,UPI,2026-02-15,4.0
ORD036,1036,30,Kollam,Biryani,2050.0,54.0,COD,2026-02-16,3.5
ORD037,1037,41,Trivandrum,Chinese,990.0,31.0,UPI,2026-02-17,4.5
ORD038,1038,25,Kochi,Desserts,680.0,28.0,CASH,2026-02-18,5.0
ORD039,1039,38,Calicut,Fast Food,870.0,36.0,CARD,2026-02-20,4.0
ORD040,1040,29,Kannur,Indian,1190.0,41.0,UPI,2026-02-21,4.0
ORD041,1001,24,Kochi,Biryani,1600.0,48.0,CASH,2026-02-22,3.5
ORD042,1002,31,Calicut,Cafe,640.0,27.0,UPI,2026-02-23,4.5
ORD043,1003,28,Kannur,Fast Food,910.0,34.0,CARD,2026-02-24,4.0
ORD044,1004,35,Thrissur,Chinese,1050.0,39.0,COD,2026-02-26,4.0
ORD045,1005,22,Kochi,Indian,1380.0,43.0,UPI,2026-02-27,3.5
ORD046,1006,41,Kollam,Biryani,2250.0,57.0,CASH,2026-02-28,3.0
ORD047,1007,29,Trivandrum,Desserts,720.0,32.0,CARD,2026-03-01,4.5
ORD048,1008,33,Kochi,Fast Food,1010.0,36.0,UPI,2026-03-02,4.0
ORD049,1009,26,Calicut,Indian,1550.0,44.0,CASH,2026-03-03,3.5
ORD050,1010,38,Kannur,Cafe,580.0,26.0,CARD,2026-03-05,5.0
ORD051,1011,21,Thrissur,Biryani,1800.0,50.0,UPI,2026-03-06,4.0
ORD052,1012,45,Kollam,Chinese,970.0,33.0,COD,2026-03-07,4.0
ORD053,1013,27,Trivandrum,Indian,1290.0,42.0,UPI,2026-03-08,3.5
ORD054,1014,36,Kochi,Desserts,630.0,29.0,CASH,2026-03-10,4.5
ORD055,1015,30,Calicut,Fast Food,860.0,35.0,CARD,2026-03-11,4.0
ORD056,1016,23,Kannur,Biryani,1980.0,53.0,UPI,2026-03-12,3.0
ORD057,1017,39,Thrissur,Indian,1480.0,45.0,CASH,2026-03-13,4.0
ORD058,1018,25,Kollam,Cafe,520.0,24.0,CARD,2026-03-15,5.0
ORD059,1019,32,Trivandrum,Fast Food,930.0,38.0,UPI,2026-03-16,4.5
ORD060,1020,47,Calicut,Biryani,2400.0,60.0,COD,2026-03-17,3.0
ORD061,1021,20,Kochi,Chinese,810.0,30.0,UPI,2026-03-18,4.0
ORD062,1022,34,Kannur,Indian,1210.0,40.0,CASH,2026-03-20,4.0
ORD063,1023,29,Thrissur,Desserts,600.0,34.0,CARD,2026-03-21,4.5
ORD064,1024,42,Kollam,Fast Food,1080.0,37.0,UPI,2026-03-22,4.0
ORD065,1025,37,Trivandrum,Indian,1720.0,48.0,CASH,2026-03-23,3.5
ORD066,1026,24,Kochi,Biryani,1890.0,52.0,UPI,2026-03-25,4.0
ORD067,1027,31,Calicut,Cafe,750.0,28.0,CARD,2026-03-26,4.5
